time,Open,High,Low,Close
2012-01-02,1336.56926,1336.56926,1317.0573,1326.81328
2012-01-03,1346.32524,1356.08122,1326.81328,1346.32524
2012-01-04,1356.08122,1356.08122,1336.56926,1356.08122
2012-01-05,1356.08122,1365.8372,1336.56926,1356.08122
2012-01-06,1356.08122,1365.8372,1336.56926,1346.32524
2012-01-09,1346.32524,1365.8372,1336.56926,1365.8372
2012-01-10,1365.8372,1385.34916,1356.08122,1375.59318
2012-01-11,1375.59318,1395.10514,1365.8372,1365.8372
2012-01-12,1365.8372,1365.8372,1336.56926,1346.32524
2012-01-13,1346.32524,1356.08122,1326.81328,1336.56926
2012-01-16,1326.81328,1346.32524,1317.0573,1326.81328
2012-01-17,1336.56926,1356.08122,1326.81328,1356.08122
2012-01-18,1356.08122,1375.59318,1336.56926,1375.59318
2012-01-19,1395.10514,1404.86112,1375.59318,1395.10514
2012-01-20,1375.59318,1395.10514,1365.8372,1375.59318
2012-01-24,1385.34916,1385.34916,1356.08122,1365.8372
2012-01-25,1365.8372,1365.8372,1346.32524,1356.08122
2012-01-26,1356.08122,1365.8372,1346.32524,1365.8372
2012-01-27,1365.8372,1375.59318,1346.32524,1365.8372
2012-01-30,1365.8372,1365.8372,1336.56926,1346.32524
2012-01-31,1356.08122,1365.8372,1317.0573,1336.56926
2012-02-01,1346.32524,1385.34916,1346.32524,1375.59318
2012-02-02,1385.34916,1395.10514,1365.8372,1385.34916
2012-02-03,1385.34916,1414.6171,1385.34916,1395.10514
2012-02-06,1414.6171,1414.6171,1346.32524,1365.8372
2012-02-07,1365.8372,1365.8372,1336.56926,1336.56926
2012-02-08,1356.08122,1404.86112,1356.08122,1395.10514
2012-02-09,1395.10514,1395.10514,1346.32524,1356.08122
2012-02-10,1356.08122,1356.08122,1278.03338,1297.54534
2012-02-13,1287.78936,1336.56926,1278.03338,1336.56926
2012-02-14,1336.56926,1336.56926,1297.54534,1307.30132
2012-02-15,1307.30132,1317.0573,1287.78936,1297.54534
2012-02-16,1287.78936,1326.81328,1278.03338,1317.0573
2012-02-17,1326.81328,1336.56926,1307.30132,1326.81328
2012-02-20,1336.56926,1336.56926,1317.0573,1326.81328
2012-02-21,1326.81328,1356.08122,1317.0573,1346.32524
2012-02-22,1356.08122,1365.8372,1346.32524,1356.08122
2012-02-23,1346.32524,1356.08122,1336.56926,1336.56926
2012-02-24,1346.32524,1346.32524,1287.78936,1326.81328
2012-02-27,1326.81328,1326.81328,1278.03338,1297.54534
2012-02-28,1307.30132,1317.0573,1297.54534,1297.54534
2012-02-29,1307.30132,1356.08122,1297.54534,1346.32524
2012-03-01,1346.32524,1346.32524,1287.78936,1307.30132
2012-03-02,1307.30132,1317.0573,1278.03338,1297.54534
2012-03-05,1287.78936,1297.54534,1278.03338,1297.54534
2012-03-06,1287.78936,1287.78936,1268.2774,1287.78936
2012-03-07,1278.03338,1287.78936,1248.76544,1258.52142
2012-03-08,1258.52142,1278.03338,1248.76544,1248.76544
2012-03-09,1268.2774,1278.03338,1258.52142,1258.52142
2012-03-12,1278.03338,1297.54534,1268.2774,1297.54534
2012-03-13,1307.30132,1326.81328,1297.54534,1317.0573
2012-03-14,1326.81328,1336.56926,1307.30132,1326.81328
2012-03-15,1326.81328,1336.56926,1317.0573,1326.81328
2012-03-16,1326.81328,1326.81328,1307.30132,1326.81328
2012-03-19,1326.81328,1326.81328,1307.30132,1326.81328
2012-03-20,1307.30132,1317.0573,1287.78936,1307.30132
2012-03-21,1297.54534,1317.0573,1297.54534,1317.0573
2012-03-22,1326.81328,1336.56926,1317.0573,1326.81328
2012-03-26,1326.81328,1336.56926,1307.30132,1317.0573
2012-03-27,1326.81328,1336.56926,1317.0573,1326.81328
2012-03-28,1326.81328,1346.32524,1317.0573,1346.32524
2012-03-29,1336.56926,1365.8372,1336.56926,1365.8372
2012-03-30,1365.8372,1375.59318,1346.32524,1356.08122
2012-04-02,1365.8372,1385.34916,1365.8372,1375.59318
2012-04-03,1375.59318,1395.10514,1375.59318,1385.34916
2012-04-04,1385.34916,1385.34916,1356.08122,1365.8372
2012-04-05,1365.8372,1365.8372,1346.32524,1365.8372
2012-04-09,1346.32524,1346.32524,1336.56926,1346.32524
2012-04-10,1346.32524,1346.32524,1326.81328,1346.32524
2012-04-11,1326.81328,1346.32524,1326.81328,1346.32524
2012-04-12,1346.32524,1365.8372,1336.56926,1365.8372
2012-04-13,1356.08122,1365.8372,1346.32524,1365.8372
2012-04-16,1365.8372,1375.59318,1356.08122,1375.59318
2012-04-17,1375.59318,1375.59318,1356.08122,1365.8372
2012-04-18,1365.8372,1365.8372,1336.56926,1356.08122
2012-04-19,1356.08122,1356.08122,1346.32524,1356.08122
2012-04-20,1365.8372,1365.8372,1346.32524,1356.08122
2012-04-23,1365.8372,1375.59318,1356.08122,1365.8372
2012-04-24,1375.59318,1375.59318,1336.56926,1346.32524
2012-04-25,1336.56926,1346.32524,1326.81328,1346.32524
2012-04-26,1346.32524,1365.8372,1336.56926,1356.08122
2012-04-27,1356.08122,1356.08122,1297.54534,1307.30132
2012-04-30,1287.78936,1297.54534,1258.52142,1297.54534
2012-05-01,1297.54534,1307.30132,1278.03338,1297.54534
2012-05-02,1297.54534,1297.54534,1258.52142,1268.2774
2012-05-03,1268.2774,1278.03338,1258.52142,1278.03338
2012-05-04,1268.2774,1278.03338,1258.52142,1278.03338
2012-05-07,1248.76544,1268.2774,1239.00946,1268.2774
2012-05-08,1268.2774,1287.78936,1258.52142,1287.78936
